,,"Backporting: fix will be backported to a previous release - don't show in final release notes.
2017.3 Feature/Regression: fix pertains to a feature in this release - don't show in final release notes.
Internal: fix pertains to something that we don’t necessarily want to advertise - don't show in any release notes.
Existing issue: everything else - show in alpha/beta and final release notes. (confused? ask on #release-management)",,"Note: Please use Markdown format inside cell. Also, expect the whole cell to be prefixed with a ""- "" to turn into a bullet item, so prefix spaces for internal bullets as necessary.",,Doc Team Usage,,
2017.3.0a5,933341,Backporting (show in alpha/beta notes only),Universal Windows Platform,Fix issue that caused input to queue during scene load,NIck Rapp,,https://issuetracker.unity3d.com/issues/wsa-input-gets-queued-during-splash-screen-played-out-over-n-frames-after-splash-is-complete,
2017.3.0a5,759166,Backporting (show in alpha/beta notes only),Universal Windows Platform,"When runInBackground is enabled, request extended execution for UWP to allow running even when minimized in some scenarios.",,,https://issuetracker.unity3d.com/issues/uwp-wsa-runinbackground-doesnt-work-on-uwp-wsa,
2017.3.0a5,935630,Backporting (show in alpha/beta notes only),2D,Update Grid Gizmo in Scene View when undoing value changes in Grid Component ,Chuan Xin Lim,,,
2017.3.0a5,935627,Backporting (show in alpha/beta notes only),2D,Add undo for Tilemap Creation,Chuan Xin Lim,,,
2017.3.0a5,935576,Backporting (show in alpha/beta notes only),2D,Update Tile Palette Grid size when differently sized Tiles are added to it,Chuan Xin Lim,,,
2017.3.0a5,935980,Backporting (show in alpha/beta notes only),2D,Fix floating Sprite when a Sprite is dragged into the Scene View and undone,Chuan Xin Lim,,,
2017.3.0a5,,Existing Issue (show in final notes),Graphics,Fixed GameView Stats windows & profiler to display rendered vertex/triangle counts properly when they are larger than 2 Billion.,Aras Pranckevicius,,,
2017.3.0a5,900987,Existing Issue (show in final notes),Shaders,Fixed non rendering light probe debug visualization in metal editor,Lukas Chodosevicius,,,
2017.3.0a5,923391,Backporting (show in alpha/beta notes only),2D,Fix floating Sprite when a group of Sprites are dragged into the Scene View and undone,Chuan Xin Lim,,https://issuetracker.unity3d.com/issues/animation-sprite-is-still-visible-in-the-scene-after-undo,
2017.3.0a5,939651,Backporting (show in alpha/beta notes only),2D,Disable creation of a Tile Palette when a blank name is presented as the Tile Palette name,Chuan Xin Lim,,https://issuetracker.unity3d.com/issues/nullreferenceexception-if-user-tries-to-create-tile-palette-with-blank-name,
2017.3.0a5,878689,Backporting (show in alpha/beta notes only),iOS,Added an option to iOS trampoline to disable touch delays for default gesture recognizers when click are very close to the screen edge,Paulius Puodziunas,,https://issuetracker.unity3d.com/issues/ios-3dtouch-touch-is-executed-with-a-delay-on-screen-edges,
2017.3.0a5,,Backporting (show in alpha/beta notes only),Build Pipeline,Do not include VR shaders in build when VR support is not enabled for target platform,Paulius Puodziunas,,,
2017.3.0a5,935726,Backporting (show in alpha/beta notes only),Scripting,Raise MarshalDirectiveException rather than aborting when invalid array marshaling directive is encountered,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/unity-editor-crashes-when-using-marshal-and-trying-to-load-bsp-file,
2017.3.0a5,935563 ,Backporting (show in alpha/beta notes only),Scripting,Avoid stack overflow from occurring in Unity liveness logic (asset GC),Jonathan Chambers,,https://issuetracker.unity3d.com/issues/mono-callstack-overflow-when-callling-resources-dot-unloadunusedassets-and-c-number-scripts-contain-large-nested-arrays,
2017.3.0a5,940012,Backporting (show in alpha/beta notes only),Scripting,Fix Marshal.StructureToPtr when a field type is a multidimensional array of blittable types,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/unity-crashes-when-marshal-dot-structuretoptr-is-used,
2017.3.0a6,927145,Backporting (show in alpha/beta notes only),Graphics,Fix crash in player when using non RGBA32 format 3D textures,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/dx12-3d-texture-causing-player-crash,
2017.3.0a6,930145,Backporting (show in alpha/beta notes only),Graphics,"Fixed error message ""MissingMethodException: Method not found: 'UnityEngine.Mesh.Clear'"" being triggered e.g. creating New Shape in Probuilder UI",Felipe Lira,,https://issuetracker.unity3d.com/issues/missingmethodexception-and-gui-errors-when-interacting-with-probuilder-ui-windows,
2017.3.0a6,930666,Backporting (show in alpha/beta notes only),Graphics,Report an error instead of crashing when Mesh has invalid positions e.g. NaN. ,Andrius Keidonas,,https://issuetracker.unity3d.com/issues/mesh-with-a-nan-input-position-crashes-the-editor-when-assigning-it-to-meshcollider-at-verifyassetsforbuildtarget,
2017.3.0a6,932389,Backporting (show in alpha/beta notes only),Graphics,Fixed incorrect culling in SceneView when changing shadow distance. ,Felipe Lira,,,
2017.3.0a6,932940,Backporting (show in alpha/beta notes only),Graphics,"Fixed Assert ""Invalid mask passed to GetVertexDeclaration() when using post-effect"" being triggered e.g. a custom post-effect. ",Felipe Lira,,https://issuetracker.unity3d.com/issues/assertion-failed-invalid-mask-passed-to-getvertexdeclaration-when-using-post-effect,
2017.3.0a6,932065,Backporting (show in alpha/beta notes only),Graphics,Fixed camera rendering to a temporary RenderTexture from clearing the stencil bits when it shouldn't i.e. for HDR cameras ,Tim Cooper,,https://issuetracker.unity3d.com/issues/camera-using-temporary-rendertexture-breaks-on-the-last-frames-frame-debugger,
2017.3.0a6,914676,Backporting (show in alpha/beta notes only),Graphics,Fixed the scale and rotation matrix on the PreviewRenderUnility Camera having no effect. ,Tim Cooper,,https://issuetracker.unity3d.com/issues/scale-and-rotation-matrix-in-previewrenderunility-camera-is-ignored,
2017.3.0a6,923977,Backporting (show in alpha/beta notes only),Graphics,Fixed crash when calling Graphics.SetRenderTarget with a RenderBuffer ,Tim Cooper,,https://issuetracker.unity3d.com/issues/crast-at-camera-settargettexturebuffers-when-graphics-dot-setrendertarget-is-called-with-renderbuffer,
2017.3.0a6,925408,Backporting (show in alpha/beta notes only),Graphics,Fixed camera culling performance regression. ,Felipe Lira,,,
2017.3.0a6,926718,Backporting (show in alpha/beta notes only),Graphics,Fixed crash in CameraStackRenderingState::ReleaseResources e.g. searching in Hierarchy window. ,Tim Cooper,,https://issuetracker.unity3d.com/issues/crash-in-camerastackrenderingstate-releaseresources-when-searching-in-hierarchy,
2017.3.0a6,933768,Backporting (show in alpha/beta notes only),Graphics,Fixed D3D11 errors in scenes with a Camera having HDR enabled and depth-only clear ,Tim Cooper,,https://issuetracker.unity3d.com/issues/d3d11-errors-when-debugging-with-visual-studio-and-camera-having-hdr-enabled-and-depth-only-clear,
2017.3.0a6,898416,Backporting (show in alpha/beta notes only),Android,Remove API 16 - 19 from target sdk version selection list,Julius Miknevicius,,https://issuetracker.unity3d.com/issues/an-error-failed-to-re-package-resources-appears-during-building-the-project-when-target-api-level-is-set-to-4-dot-4-and-lower,
2017.3.0a6,939414,Backporting (show in alpha/beta notes only),Android,Buildpipe - Fixed permissions popping up when providing resources in res/,Yury Habets,,https://issuetracker.unity3d.com/issues/the-storage-and-phone-permissions-are-shown-when-android-folder-has-a-subfolder-res,
2017.3.0a6,918102,Backporting (show in alpha/beta notes only),Universal Windows Platform,Fixed UWP build targeting .NET backend where const field named same as a field in base class prevented base class field from being properly serialized.,Andrei Aristarkhov,,,
2017.3.0a6,918989,Backporting (show in alpha/beta notes only),Universal Windows Platform,"Fixed UWP build failure with ""Unity C# projects"" when the Editor folder contained a script.",Andrei Aristarkhov,,,
2017.3.0a6,940376,Backporting (show in alpha/beta notes only),XR,Fixed hang when starting play in Editor to a Windows Mixed Realtiy device.,Peter Freese,,,
2017.3.0a6,807541,Existing Issue (show in final notes),Build Pipeline,Fix crash when unloading an asset bundle that contains a GameObject with a non-persistent component,Joseph Scheinberg,,,
2017.3.0a6,930624,Existing Issue (show in final notes),Editor,Fix framework inspector showing only one option in Option Dependencies,Pavel Laurs,,,
2017.3.0a6,805636,Existing Issue (show in final notes),Particles,Clamp properties to valid ranges when set via script,Richard Kettlewell,,,
2017.3.0a6,936831,Existing Issue (show in final notes),Particles,Clamp properties to valid ranges when set via animation,Richard Kettlewell,,,
2017.3.0a6,921297,Backporting (show in alpha/beta notes only),Graphics,Fixed TrailRenderer not recording the first position when instantiated using a position and rotation value.,Karl Jones,,,
2017.3.0a6,899153,Existing Issue (show in final notes),Graphics,Work around Metal driver issue breaking reflection probes,Povilas Kanapickas,,,
2017.3.0a6,925709,Backporting (show in alpha/beta notes only),Particles,Remove unnecessary sync between main and graphics threads improving performance when more than one camera is rendering,Povilas Kanapickas,,,
2017.3.0a6,,Backporting (show in alpha/beta notes only),Graphics,Fix incorrect rendering on Metal after switching from a scene which called Shader.SetGlobalTexture with cubemap texture.,Povilas Kanapickas,,,
2017.3.0a6,881880,Existing Issue (show in final notes),Timeline,Fixed drag when moving mouse outside of the Timeline Window.,Chafik Achache,,,
2017.3.0a6,888393,Existing Issue (show in final notes),Timeline,Fixed trimming left side of activation clip will eventually move the clip,Chafik Achache,,,
2017.3.0a6,883991,Existing Issue (show in final notes),Timeline,Added snapping on multi-selected clips,Chafik Achache,,,
2017.3.0a6,879564,Existing Issue (show in final notes),Timeline,Fixed snap to frame will snap to middle of frame if clip beginning is not snapped,Chafik Achache,,,
2017.3.0a6,784805,Existing Issue (show in final notes),Editor,Fixed NullReferenceException when selecting objects in hierarchy at the same frame they are destroyed,Salvador Jacobi,,,
2017.3.0a6,934443,2017.3 Feature/Regression,Editor,Fixed Scene view motion tools not wrapping cursor at screen bounds on Windows,Salvador Jacobi,,,
2017.3.0a6,937955,Backporting (show in alpha/beta notes only),Editor,Fixed Collab toolbar window dislocated when asset save dialog is shown beforehand,Salvador Jacobi,,,
2017.3.0a6,938824,Existing Issue (show in final notes),Editor,Fixed Build And Run button for AppleTV on non macOS,Pavel Laurs,,,
2017.3.0a6,911018,Existing Issue (show in final notes),Build Pipeline,Fixed editor crash when reading very old serialized files,Paul Burslem,,,
2017.3.0a6,800269,Existing Issue (show in final notes),Build Pipeline,Modified warning message in the build player window to direct users to log in to use services,Paul Burslem,,,
2017.3.0a6,932726,Existing Issue (show in final notes),Asset Bundles,Fixed bug where incorrect error was getting thrown if an asset was included in the same AssetBundle more than once,,,,
2017.3.0a6,940923,Internal,Editor,Fixed bug where scripts only build would not work when no scenes were selected to build/deploy,Alex Thibodeau,,,
2017.3.0a6,938693,Backporting (show in alpha/beta notes only),Editor,Fix for Web Signin always print loading error in Editor.log (with access token),Justin Zheng,,,
2017.3.0a6,938742,Backporting (show in alpha/beta notes only),Editor,Fix Editor cannot handle network off scenario,Justin Zheng,,,
2017.3.0a6,942743,Backporting (show in alpha/beta notes only),Editor,Fix user cannot signin if license file is invalid,Justin Zheng,,,
2017.3.0a6,942616,2017.3 Feature/Regression,Animation,Fixed an issue where Animator transitions were getting mixed up in the Animator Window,David Geoffroy,,,
2017.3.0a6,944408,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fixed Windows Standalone player failing to load Mono when built to a path with non-ascii characters in it with .NET 4.6 runtime,Tautvydas Zilys,,,
2017.3.0a6,937126,Backporting (show in alpha/beta notes only),2D,Editing 2D primitive asset no longer result error in console. ,Yuan Kuan Seng,,,
2017.3.0a7,940745,Existing Issue (show in final notes),Asset Import,Fixed editor crash and visibility curves correcteness on FBX with non baked animations.,Bastien Humeau,,,
2017.3.0a7,934858,Backporting (show in alpha/beta notes only),Editor,Fixed presets not applying properly in the ColorPicker,Mikaël Brochu,,,
2017.3.0a7,927176,Existing Issue (show in final notes),Editor,"Fixed issue where you could not reload the last loaded scene, when there is an unloaded scene in the scene hierarchy.",,,,
2017.3.0a7,940149,Existing Issue (show in final notes),Package Manager,Fixed issue where Export package window contains extra folder Packages,Emmanuel Horckmans,,,
2017.3.0a7,913546,Backporting (show in alpha/beta notes only),Android,Fix VideoCore GPUs having visual glitches with npot mipmaps,Vilius Prakapas,,,
2017.3.0a7,934735,Backporting (show in alpha/beta notes only),Build Pipeline,Fix the editor returning 'build successful' after failed android builds,Vilius Prakapas,,,
2017.3.0a7,,Internal,Android,Fix test runner with no builder not shutting down analytics or any other code that checks 'isHumanControllingUs' ,Vilius Prakapas,,,
2017.3.0a7,941214,Backporting (show in alpha/beta notes only),Android,Fix an issue where signing an APK would fail when special non-alphanumeric characters are used for the passwords,Vilius Prakapas,,,
2017.3.0a7,921104,Backporting (show in alpha/beta notes only),Scripting,Fix MonoDevelop startup crash on macOS 10.13 High Sierra,Lukasz Paczkowski,,,
2017.3.0a7,935309,Internal,Graphics,Extending 541 multidisplay test,Lukas Chodosevicius,,,
2017.3.0a7,944458,2017.3 Feature/Regression,Windows,Fixed Editor crashing on Visual Studio detection in some configurations,Andrei Aristarkhov,,,
2017.3.0a7,936670,Backporting (show in alpha/beta notes only),XR,Fixed Vuforia Virtual reality support on iOS. No longer fails to link during build or revert to non-vr mode.,Ed Blais,,,
2017.3.0a7,,Backporting (show in alpha/beta notes only),XR,Vuforia scripts no longer throw errors when first compiled in the Editor.,Ed Blais,,,
2017.3.0a7,927079,Backporting (show in alpha/beta notes only),Graphics,Fixed errors regarding GetTransformInfoExpectUpToDate when adding RectTransforms,Jens Skinnerup,,,
2017.3.0a7,941177,Backporting (show in alpha/beta notes only),Editor,Fixed prefab preview displaying all game objects in each individual game object preview during multi-selection.,Salvador Jacobi,,,
2017.3.0a7,922769,Backporting (show in alpha/beta notes only),Graphics,"Fixed ""Assertion failed: 'IsNormalized(normal)'"" when computing spotlight frustum planes.",Vlad Andreev,,,
2017.3.0a7,933119,2017.3 Feature/Regression,Graphics,Fixed transform tool helper axis being offset when in hierarchy search mode. ,Peter Bay Bastian,,,
2017.3.0a7,935870,Backporting (show in alpha/beta notes only),Graphics,Fixed changing texture type to Normal map not resetting existing alphaIsTransparency setting. ,Julien Ignace,,,
2017.3.0a7,878724,Existing Issue (show in final notes),Graphics,Convert scene view texture to LDR before drawing scene view elements. ,Peter Bay Bastian,,,
2017.3.0a7,920303,Backporting (show in alpha/beta notes only),Shaders,Add errors in UsePass/Fallback snippets as runtime errors so they get properly cleared when the source shader is updated. ,Juho Oravainen,,,
2017.3.0a7,938897,Existing Issue (show in final notes),Graphics,"Fixed SkinnedMeshRenderers marked with ""update when offscreen"" not being updated when rendering via CommandBuffers. ",Tim Cooper,,,
2017.3.0a7,933203,Backporting (show in alpha/beta notes only),Shaders,"Fixed #pragma target 4.0, 4.6, 5.0 not working on some Android devices.",Aras Pranckevičius,,,
2017.3.0a7,914192,Backporting (show in alpha/beta notes only),Graphics,Fixed OpenGL rendering to specific mip level in certain circumstances.,Christophe Riccio,,,
2017.3.0a7,938617,Backporting (show in alpha/beta notes only),DX12,Fixed constant buffer memory being overwritten in certain circumstances.,Andrius Keidonas,,,
2017.3.0a7,925955,Backporting (show in alpha/beta notes only),DX12,Fixed bad pipeline state issue causing errors.,Andrius Keidonas,,,
2017.3.0a7,840231,Backporting (show in alpha/beta notes only),Graphics,Clarified behaviour for RenderTexture.autoGenerateMips specifically when using Graphics.CopyTexture.,Christophe Riccio,,,
2017.3.0a7,891510,Backporting (show in alpha/beta notes only),Graphics,Added GL support to be able to bind sRGB textures as RWTextures i.e. for compute shaders in linear rendering mode.,Juho Oravainen,,,
2017.3.0a7,938200,Internal,Build Pipeline,added a notation for deleted scenes in the BuildSettings window,Bill Ramsour,,,
2017.3.0a7,938801,Existing Issue (show in final notes),Video,Fix for loss of audio when changing video playback speed on iOS/OSX with AudioSources,Toulouse,,,
2017.3.0a7,733507,Existing Issue (show in final notes),XR,"Fixed billboard trees moving around in VR as viewer moves or rotates. Also fix VR issue of morphing tree vertices ""growing"" as camera moves closer to trees",Mike Chow,,,
2017.3.0a7,943461,Existing Issue (show in final notes),Editor,"Fix a fatal error caused when code is trying to access a non-existing platform (for example, one that was deprecated and later removed in Unity)
",Elvis Alistar,,,
2017.3.0a4,940839,Existing Issue (show in final notes),Editor,The generated TestResults.xml when running playmode and editmode tests is now updated to be in NUnit3 format.,Christian Warnecke,,https://issuetracker.unity3d.com/issues/the-xml-report-generated-by-the-editor-tests-runner-is-missing-the-required-test-run-root-element,
2017.3.0a6,935602,Existing Issue (show in final notes),Editor,Fixed an issue where LogAssert.Expect would ignore the the logtype when finding a satisfying event when running playmode and editmode tests.,Christian Warnecke,,,
2017.3.0a7,944838,Backporting (show in alpha/beta notes only),Animation,Fixed crash when double clicking a state node in the animator controller,Bogdan Corciova,,,
2017.3.0a7,,Backporting (show in alpha/beta notes only),XR,Fix Oculus plugin overriding conflicts,Ed Blais,,,
2017.3.0a7,941391,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when constructing delegate on null reference with virtual method target,Jonathan Chambers,,,
2017.3.0a7,930062,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when exiting managed debugger,Jonathan Chambers,,,
2017.3.0a7,944305,Backporting (show in alpha/beta notes only),Scripting Upgrade,"Fix ""About"" window not displaying correctly when using latest scripting runtime",Jonathan Chambers,,,
2017.3.0a7,918046,Backporting (show in alpha/beta notes only),Scripting,Fixed crash when Ldflda opcode is used and null check is missing,Jonathan Chambers,,,
2017.3.0a7,941204,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when using managed debugger on OSX,Jonathan Chambers,,,
2017.3.0a7,926881,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when inspecting values in managed debugger,Jonathan Chambers,,,
2017.3.0a7,942459,Backporting (show in alpha/beta notes only),Scripting,Fixed crash when invalid IL code was encountered,Jonathan Chambers,,,
2017.3.0a7,940280,Backporting (show in alpha/beta notes only),Scripting,Fix use of System.Net.WebRequest in OSX Standalone player,Jonathan Chambers,,,
2017.3.0a7,759166,Existing Issue (show in final notes),Universal Windows Platform,Follow up fix for runInBackground,,,,
2017.3.0a7,944118,Existing Issue (show in final notes),Android,Fixed player crash when profiler with GPU profiling was enabled and graphics API was not OpenGL ES 3,Aleksandr Kirillov,,,
2017.3.0a7,940368,Backporting (show in alpha/beta notes only),Scripting,Fix infinite compilation caused by being unable to delete files in Library/ScriptAssemblies on Windows.,Lukasz Paczkowski,,,
2017.3.0a7,837845,Existing Issue (show in final notes),Android,Shaders that fail to compile no longer spam the log in release builds,Aleksandr Kirillov,,,
2017.3.0a7,,Internal,iOS,Apple TV is now configured correctly as a Tier 2 graphics device,Aleksandr Kirillov,,,
2017.3.0a7,923633,Backporting (show in alpha/beta notes only),Scripting,"Fix ""Unity extensions are not yet initialized"" assertions when opening a project on Windows.",Lukasz Paczkowski,,,
2017.3.0a7,,Backporting (show in alpha/beta notes only),Scripting,Fix issue with Unity not using the latest changes made to scripts after recompile in Unity on Windows.,Lukasz Paczkowski,,,
2017.3.0a7,719374,Existing Issue (show in final notes),Kernel,"Improved error reporting for semantic YAML merges, particularly on macOS",Chris Pacey,,,
2017.3.0a7,898008,Existing Issue (show in final notes),Editor,Fixed an issue where ResourceRequest.isDone was never set when loading resources in the Editor with LoadAsync until Editor window got resized,"Dan Schuller
Nikos Chagialas",,,
2017.3.0a7,889059,Existing Issue (show in final notes),Video,Fixed audio getting desynchronized from video after seek operations.,Dominique Leroux,,,
2017.3.0a8,942113,2017.3 Feature/Regression,Animation,Fixed an issue where blendshape keyframes could not be created,David Geoffroy,,,
2017.3.0a8,,2017.3 Feature/Regression,Animation,Fixed an issue where integer animations and Object animations were overwriting each other,David Geoffroy,,,
2017.3.0a8,942488,Backporting (show in alpha/beta notes only),iOS,Fixed PBXProjectExtensions.AddFileToEmbedFrameworks when .pbxproj contains unknown sections,Paulius Puodziunas,,,
2017.3.0a8,926730,2017.3 Feature/Regression,OSX,Metal VSync on OSX 10.13 now works according to Quality Settings,Jonas Sideravicius,,,
2017.3.0a8,930042,Existing Issue (show in final notes),Editor,Removed unnecessary error in console when using point mesh topology.,Jesper Mortensen,,,
2017.3.0a8,930826,Existing Issue (show in final notes),Graphics,Provide SystemInfo.SupportsBlendingOnRenderTextureFormat() API for checking the support of blending on render texture formats,Povilas Kanapickas,,,
2017.3.0a4,923026,Backporting (show in alpha/beta notes only),Graphics,Fixed a case of Light Cookie rendering differently in Forward and Deferred mode.,Kasper Engelstoft,,,
2017.3.0a4,907378,Backporting (show in alpha/beta notes only),Graphics,Fixed a case of RenderTarget for Default Reflection Probe not updating when skybox shaders are modified.,Ionut Nedelcu,,,
2017.3.0a4,726487,Backporting (show in alpha/beta notes only),GI,Fixed a case of object lighting preview being empty for meshes with no normals.,Jennifer Nordwall,,,
2017.3.0a4,919234,Backporting (show in alpha/beta notes only),GI,Fixed an issue where creating a new scene in project window affected the lighting settings of other scenes.,Tobias Alexander Franke,,,
2017.3.0a4,925579,Backporting (show in alpha/beta notes only),GI,Fixed shadowmask in Forward rendering when multiple directional lights are used.,Uygar Kalem,,,
2017.3.0a8,930408,Existing Issue (show in final notes),Graphics,Fixed a crash when frustum culling local (point and spot) moving lights.,Kuba Cupisz,,,
2017.3.0a8,945940,Existing Issue (show in final notes),XR,Fixed incorrect viewport in Single-Pass Stereo when blitting between different sized render textures,Rob Srinivasiah,,,
2017.3.0a8,937367,Existing Issue (show in final notes),Services,Fixed A very bad internet connexion can result on a black page when launching the editor,Boris Mongeau,,,
2017.3.0a8,,Existing Issue (show in final notes),Video,Fixed VideoPlayer CameraNear/FarPlane RenderModes when used in conjunction with VR,Toulouse,,,
2017.3.0a8,926540,Existing Issue (show in final notes),Editor,Unit tests in custom assemblies are again loaded by the test runner as playmode and editmode tests when the assembly is placed inside the assets folder.,Christian Warnecke,,,
2017.3.0a8,946419,2017.3 Feature/Regression,Windows,Fixed issue with installer being unable to determine whether Visual Studio 2017 is installed.,Lukasz Paczkowski,,,
2017.3.0a8,930221,Existing Issue (show in final notes),Graphics,Fix shadows when only alpha blended shadow caster are present.,Florent Guinier,,,
2017.3.0a8,935149,Backporting (show in alpha/beta notes only),GI,Make meta pass work for terrains using MaterialPropertyBlock.,Kasper Engelstoft,,,
2017.3.0a8,929875,Backporting (show in alpha/beta notes only),GI,[UI] Incorrect light mode is shown when multiple lights are selected.,Kasper Engelstoft,,,
2017.3.0a8,851817,Backporting (show in alpha/beta notes only),GI,Crash when deleting Speedtree asset files from project folder.,Kasper Engelstoft,,,
2017.3.0a8,925490,Existing Issue (show in final notes),Android,Android: Buildpipe - Fixed exporting for projects with chars in ProductName which are forbidden by the file system,Yury Habets,,,
2017.3.0a8,945338,Backporting (show in alpha/beta notes only),Android,Android: Fixed black screen on startup on Android Oreo devices,Yury Habets,,,
2017.3.0a8,946349,Backporting (show in alpha/beta notes only),Android,Android: Permissions - Fixed ephemeral permissions not popping up on Android Oreo,Yury Habets,,,
2017.3.0a8,945994,Backporting (show in alpha/beta notes only),Android,"Android: SoftInput - Fixed the Korean input (now Samsung phones are again ignoring the ""hide suggestions"" option)",Yury Habets,,,
2017.3.0a8,923391,Backporting (show in alpha/beta notes only),2D,Fix hierarchy window showing GameObject name after undo of Sprite Drag and Drop action,Chuan Xin Lim,,,
2017.3.0a8,941549,Backporting (show in alpha/beta notes only),2D,Fix unclickable Sprite when doing a Sprite Drag and Drop action onto a Grid,Chuan Xin Lim,,,
2017.3.0a8,944661,Backporting (show in alpha/beta notes only),2D,Fix GameObject attached to a Tile from being saved into a Tile Palette prefab,Chuan Xin Lim,,,
2017.3.0a8,946284,Backporting (show in alpha/beta notes only),2D,Fix persistence of Tilemap focus when focused Grid is deleted,Chuan Xin Lim,,,
2017.3.0a8,932166,Backporting (show in alpha/beta notes only),2D,"Removing packable from master and pack preview, will now display the remove sprite correctly in player.",Yuan Kuan Seng,,,
2017.3.0a8,938951,Backporting (show in alpha/beta notes only),Physics,Fix an occasional crash due to orphaned 2D physics contacts.,Melvyn May,,,
2017.3.0a8,916584,Backporting (show in alpha/beta notes only),Physics,Stop invalid warning being output to console when destroying a CompositeCollider2D component.,Melvyn May,,,
2017.3.0a8,940608,Backporting (show in alpha/beta notes only),iOS,Fix FullScreenMovieControlMode.CancelOnInput not cancelling video for iOS 11,Jonas Sideravicius,,,
2017.3.0a8,945175,Backporting (show in alpha/beta notes only),OSX,Fixed an issue where memory was continuously leaked when using AssetDatabase.CopyAsset,Vaidas Budrys,,,
2017.3.0a8,939459,Backporting (show in alpha/beta notes only),Editor,Fixed an issue where creating a new sample with .BeginSample(name) would freeze the editor if the sample name already existed.,Alexandru Busnita,,,
2017.3.0a8,,Backporting (show in alpha/beta notes only),IL2CPP,"Fixed calling System.Collections.Generic.IDictionary`2<K, V> methods on native objects that implement Windows.Foundation.Collections.IMap`2<K, V> interface from managed code and calling Windows.Foundation.Collections.IMap`2<K, V> methods on managed objects that implement System.Collections.Generic.IDictionary`2<K, V> interface from native code.",Tautvydas Zilys,,,
2017.3.0a8,932981,Backporting (show in alpha/beta notes only),IL2CPP,"Fixed calling Windows.Foundation.Collections.PropertySet methods that derive from IDictionary`2<string, object> interface from managed code.",Tautvydas Zilys,,,
2017.3.0a8,940906,Backporting (show in alpha/beta notes only),IL2CPP,Adding an extra check for a method with a body but an empty instruction list to prevent a crash in IL2CPP.,Brian Raderman,,,
2017.3.0a8,941148,Backporting (show in alpha/beta notes only),IL2CPP,Prevent the UnityLinker from crashing when there is an unresolved method in a type-forwarded type.,Brian Raderman,,,
2017.3.0a8,921467,Backporting (show in alpha/beta notes only),IL2CPP,Prevent a compilation error in the generated code for some Windows Store apps.,Josh Peterson,,,
2017.3.0a8,930414,Backporting (show in alpha/beta notes only),IL2CPP,Fix stripping of some System.Reflection types internally needed by Mono.,Brian Raderman,,,
2017.3.0a8,942253,Existing Issue (show in final notes),Editor,Crash on macOS when canceling undock of Hierarchy or Scene View,Antoine Lassauzay,,,
2017.3.0a8,936062,Existing Issue (show in final notes),Editor,Fix modifiers being discarded when pressing hotkey,Antoine Lassauzay,,,
2017.3.0a8,,Backporting (show in alpha/beta notes only),XR,Fixed XR assembly references failing for scripts in the Editor.,Ed Blais,,,
2017.3.0a8,,Existing Issue (show in final notes),Editor,Fixed issue that user is not recognized as signed when open a cloud project,Justin Zheng,,HUB-849,
2017.3.0a8,869402,Backporting (show in alpha/beta notes only),Graphics,Fixed rare crash in SkinnedMeshRenderer because of wrongly aligned matrices.,Jake Turner,,,
2017.3.0a8,,Existing Issue (show in final notes),OSX,Restore previous behaviour of stripping UnityEngine mdb files for macOS Standalone player builds.,jonas,,,
2017.3.0a8,,Backporting (show in alpha/beta notes only),Editor,Make generated VS solutions reference monolithing UnityEngine.dll instead of all the modules.,,,,
2017.3.0a8,931791,Existing Issue (show in final notes),Shaders,Addressed an internal issue that was causing the same shader to be built different as part of an AssetBundle on each successive build run. This only affected certain shaders and only occurred in macOS.,Ignacio Liverotti,,,
2017.3.0a8,,2017.3 Feature/Regression,Profiler,Fixed platform profiler markers,Alexey Zakharov,,,
2017.3.0b1,938980,Backporting (show in alpha/beta notes only),Multiplayer,NetworkTransport.SendMulticast causes Unity to crash,Alexey Abramychev,,,
2017.3.0b1,936801,Backporting (show in alpha/beta notes only),Web,"Fix possible freeze on iOS, when running multiple UnityWebRequests with custom download handler scripts",Aurimas Cernius,,,
2017.3.0b1,,Backporting (show in alpha/beta notes only),Web,Fix early availability of status code when UnityWebRequest is still running,Aurimas Cernius,,,
2017.3.0b1,,Backporting (show in alpha/beta notes only),Web,Ensure that headers are available in UnityWebRequest only after all of them are received,Aurimas Cernius,,,
2017.3.0b1,,Backporting (show in alpha/beta notes only),Web,Fix possible issues aborting UnityWebRequest when reading local file or using custom download handler script,Aurimas Cernius,,,
2017.3.0b1,944362,Backporting (show in alpha/beta notes only),Asset Import,Check for normal maps when importing embedded materials,Bogdan Corciova,,,
2017.3.0b3,,,Animation,Fixed Avatar preview not initializing properly,David Geoffroy,,,
2017.3.0b3,794979,Existing Issue (show in final notes),Animation,Fixed NaN errors originating from root motion calculation.,Simon Bouvier-Zappa,,,
2017.3.0b3,936144,2017.3 Feature/Regression,Animation,Fixed Clips and transitions not focusing on renderers on the first frame of the animation,David Geoffroy,,,
